,SENADOR,UF,PARTIDO,GASTOS_2018,GASTOS_2019,GASTOS_2020,GASTOS_2021,GASTOS_2022
0,ACIR GURGACZ,RO,PDT,9917.0,13850.0,24334.0,4313.0,1206.0
1,ALVARO DIAS,PR,PODEMOS,7732.0,12780.0,1715.0,27.0,4166.0
2,ANTONIO ANASTASIA,MG,PSD,81273.0,138170.0,72869.0,114417.0,6490.0
3,DAVI ALCOLUMBRE,AP,UNIÃO,27668.0,4743.0,514.0,12558.0,120.0
4,DÁRIO BERGER,SC,PSB,74294.0,92645.0,47244.0,53187.0,34317.0
5,EDUARDO BRAGA,AM,MDB,8220.0,9364.0,2768.0,6254.0,2150.0
6,ELMANO FÉRRER,PI,PP,41180.0,80159.0,53287.0,77723.0,50688.0
7,FERNANDO BEZERRA COELHO,PE,MDB,129131.0,84348.0,79195.0,61151.0,46459.0
8,FERNANDO COLLOR,AL,PTB,436.0,275.0,1869.0,9533.0,12339.0
9,HUMBERTO COSTA,PE,PT,111989.0,95218.0,26354.0,72834.0,65412.0
10,JADER BARBALHO,PA,MDB,2370.0,4033.0,304.0,302.0,228.0
11,JOSÉ SERRA,SP,PSDB,156333.0,114190.0,77876.0,44259.0,38474.0
12,LASIER MARTINS,RS,PODEMOS,71742.0,67265.0,34558.0,31221.0,24914.0
13,MARIA DO CARMO ALVES,SE,PP,21671.0,17017.0,10963.0,12161.0,3882.0
14,OMAR AZIZ,AM,PSD,484.0,1240.0,75.0,15840.0,1632.0
15,OTTO ALENCAR,BA,PSD,40668.0,35406.0,28186.0,23085.0,16996.0
16,PAULO PAIM,RS,PT,69745.0,74897.0,47285.0,39561.0,29354.0
17,PAULO ROCHA,PA,PT,75761.0,67729.0,22523.0,20922.0,10542.0
18,RANDOLFE RODRIGUES,AP,REDE,41580.0,44432.0,26794.0,26760.0,15723.0
19,RENAN CALHEIROS,AL,MDB,27437.0,22878.0,10334.0,18355.0,7088.0
20,ROBERTO ROCHA,MA,PTB,43285.0,36095.0,31107.0,21896.0,8716.0
21,ROMÁRIO,RJ,PL,61460.0,25456.0,26731.0,17944.0,13884.0
22,ROSE DE FREITAS,ES,MDB,35180.0,37507.0,13057.0,32072.0,30926.0
23,SIMONE TEBET,MS,MDB,62145.0,76784.0,48091.0,55330.0,38994.0
24,TASSO JEREISSATI,CE,PSDB,8552.0,6941.0,10291.0,127.0,136.0
25,TELMÁRIO MOTA,RR,PROS,53088.0,93518.0,43783.0,38139.0,47741.0
26,WELLINGTON FAGUNDES,MT,PL,145133.0,111531.0,63814.0,69533.0,37086.0
